model,p_obs,LR_obs,mean_LR_boot,std_LR_boot,q05,q25,q50,q75,q95,bootstrap_pvalue
CHMM-N (flat),0.033,3.83,4.9012,3.9164,0.2563,1.7358,3.8278,6.9038,12.858,0.4787
SM-CHMM-N (plug-in),0.042,0.82,1.7938,2.2324,0.0133,0.2563,0.8219,2.3327,5.7593,0.58
CHMM-t (flat),0.033,3.83,4.9012,3.9164,0.2563,1.7358,3.8278,6.9038,12.858,0.4787
SM-CHMM-t (plug-in),0.038,1.74,2.8989,2.9693,0.0133,0.4973,1.8026,3.8278,9.587,0.5
CHMM-L (flat),0.035,3.03,3.9788,3.5736,0.0959,1.2335,3.0284,5.7593,11.1437,0.4571
SM-CHMM-L (plug-in),0.035,3.03,3.9788,3.5736,0.0959,1.2335,3.0284,5.7593,11.1437,0.4571

comparison_flat,comparison_sm,p_flat,p_sm,frac_LR_sm_smaller
CHMM-N (flat),SM-CHMM-N (plug-in),0.033,0.042,0.7596
CHMM-t (flat),SM-CHMM-t (plug-in),0.033,0.038,0.6499
CHMM-L (flat),SM-CHMM-L (plug-in),0.035,0.035,0.4728
