panel,label,p,q_bh,raw_reject_5pct,bh_reject_q05
walkforward cc,W1 3 0.01,0.9302,0.9302,0,0
walkforward cc,W1 3 0.05,0.4380,0.6184,0,0
walkforward cc,W1 18 0.01,0.0802,0.2808,0,0
walkforward cc,W1 18 0.05,0.8182,0.9302,0,0
walkforward cc,W2 3 0.01,0.0000,0.0000,1,1
walkforward cc,W2 3 0.05,0.0108,0.0648,1,0
walkforward cc,W2 18 0.01,0.0000,0.0000,1,1
walkforward cc,W2 18 0.05,0.0018,0.0144,1,1
walkforward cc,W3 3 0.01,0.1479,0.3227,0,0
walkforward cc,W3 3 0.05,0.1179,0.2880,0,0
walkforward cc,W3 18 0.01,0.9302,0.9302,0,0
walkforward cc,W3 18 0.05,0.4380,0.6184,0,0
walkforward cc,W4 3 0.01,0.3393,0.5429,0,0
walkforward cc,W4 3 0.05,0.1200,0.2880,0,0
walkforward cc,W4 18 0.01,0.0223,0.1070,1,0
walkforward cc,W4 18 0.05,0.1128,0.2880,0,0
walkforward cc,W5 3 0.01,0.0819,0.2808,0,0
walkforward cc,W5 3 0.05,0.2952,0.5061,0,0
walkforward cc,W5 18 0.01,0.5564,0.7028,0,0
walkforward cc,W5 18 0.05,0.1854,0.3423,0,0
walkforward cc,W6 3 0.01,0.9302,0.9302,0,0
walkforward cc,W6 3 0.05,0.9187,0.9302,0,0
walkforward cc,W6 18 0.01,0.5497,0.7028,0,0
walkforward cc,W6 18 0.05,0.1774,0.3423,0,0
four-family cc,CHMM-N 3 0.01,0.1370,0.3771,0,0
four-family cc,CHMM-N 3 0.05,0.3910,0.5687,0,0
four-family cc,CHMM-N 18 0.01,0.1370,0.3771,0,0
four-family cc,CHMM-N 18 0.05,0.6740,0.6740,0,0
four-family cc,CHMM-t (λ=20.0) 3 0.01,0.1630,0.3771,0,0
four-family cc,CHMM-t (λ=20.0) 3 0.05,0.5550,0.5973,0,0
four-family cc,CHMM-t (λ=20.0) 18 0.01,0.1000,0.3771,0,0
four-family cc,CHMM-t (λ=20.0) 18 0.05,0.4960,0.5973,0,0
four-family cc,CHMM-L 3 0.01,0.0890,0.3771,0,0
four-family cc,CHMM-L 3 0.05,0.2870,0.5102,0,0
four-family cc,CHMM-L 18 0.01,0.3880,0.5687,0,0
four-family cc,CHMM-L 18 0.05,0.5550,0.5973,0,0
four-family cc,CHMM-GED 3 0.01,0.1650,0.3771,0,0
four-family cc,CHMM-GED 3 0.05,0.5600,0.5973,0,0
four-family cc,CHMM-GED 18 0.01,0.1370,0.3771,0,0
four-family cc,CHMM-GED 18 0.05,0.2150,0.4300,0,0
four-family DQ,CHMM-N 3 0.01,0.0563,0.1126,0,0
four-family DQ,CHMM-N 3 0.05,0.0943,0.1606,0,0
four-family DQ,CHMM-N 18 0.01,0.0169,0.0451,1,1
four-family DQ,CHMM-N 18 0.05,0.6764,0.6764,0,0
four-family DQ,CHMM-t (λ=20.0) 3 0.01,0.0109,0.0358,1,1
four-family DQ,CHMM-t (λ=20.0) 3 0.05,0.1571,0.2095,0,0
four-family DQ,CHMM-t (λ=20.0) 18 0.01,0.0005,0.0080,1,1
four-family DQ,CHMM-t (λ=20.0) 18 0.05,0.2530,0.2891,0,0
four-family DQ,CHMM-L 3 0.01,0.0026,0.0139,1,1
four-family DQ,CHMM-L 3 0.05,0.3510,0.3744,0,0
four-family DQ,CHMM-L 18 0.01,0.0302,0.0690,1,0
four-family DQ,CHMM-L 18 0.05,0.2159,0.2657,0,0
four-family DQ,CHMM-GED 3 0.01,0.0112,0.0358,1,1
four-family DQ,CHMM-GED 3 0.05,0.1004,0.1606,0,0
four-family DQ,CHMM-GED 18 0.01,0.0011,0.0088,1,1
four-family DQ,CHMM-GED 18 0.05,0.1519,0.2095,0,0
