model,seed,IS_KS_pct,OoS_KS_pct,sim_kurt,ACF_MAE,ACF_MAE_raw,br01_pct,LRuc01,br05_pct,LRuc05
CHMM-N,20260522,94.0,80.8,4.964,0.04693,0.0173,0.35,3.261,3.32,3.828
CHMM-N,20260622,94.8,78.8,5.004,0.04629,0.01725,0.52,1.581,3.32,3.828
CHMM-N,20260722,95.6,84.0,5.11,0.04655,0.01725,0.7,0.584,3.32,3.828
CHMM-N,20260822,94.4,83.6,4.992,0.04652,0.0173,0.7,0.584,3.32,3.828
CHMM-N,20260922,92.8,82.8,5.055,0.0478,0.01721,0.35,3.261,3.32,3.828
CHMM-N,20261022,96.0,83.6,4.992,0.04581,0.01748,0.52,1.581,3.32,3.828
CHMM-N,20261122,94.8,82.0,4.991,0.04623,0.01729,0.35,3.261,3.32,3.828
CHMM-N,20261222,95.2,82.8,5.121,0.04672,0.01734,0.35,3.261,3.32,3.828
CHMM-N,20261322,96.4,85.2,4.989,0.04722,0.01731,0.35,3.261,3.32,3.828
CHMM-N,20261422,93.2,82.4,5.067,0.04668,0.01728,0.7,0.584,3.32,3.828
CHMM-t,20260522,93.2,84.4,11.407,0.05184,0.01692,0.7,0.584,3.5,3.028
CHMM-t,20260622,93.2,84.8,14.036,0.05136,0.01708,0.7,0.584,3.5,3.028
CHMM-t,20260722,96.4,85.6,15.832,0.05174,0.01695,0.7,0.584,3.32,3.828
CHMM-t,20260822,94.4,86.8,12.925,0.05199,0.01692,0.7,0.584,3.5,3.028
CHMM-t,20260922,96.0,81.6,13.398,0.05119,0.01713,0.7,0.584,3.32,3.828
CHMM-t,20261022,94.8,88.4,18.458,0.0519,0.01709,0.7,0.584,3.5,3.028
CHMM-t,20261122,94.4,85.2,13.428,0.05171,0.01701,0.7,0.584,3.5,3.028
CHMM-t,20261222,94.4,87.2,12.778,0.05233,0.01712,0.7,0.584,3.5,3.028
CHMM-t,20261322,93.2,87.2,14.122,0.05181,0.01707,0.7,0.584,3.5,3.028
CHMM-t,20261422,95.6,84.8,13.11,0.05172,0.01709,0.87,0.096,3.5,3.028
CHMM-L,20260522,92.8,84.0,6.742,0.05381,0.01714,0.35,3.261,3.67,2.333
CHMM-L,20260622,95.6,80.8,6.724,0.05406,0.01697,0.35,3.261,3.5,3.028
CHMM-L,20260722,94.0,80.0,6.679,0.05345,0.01698,0.35,3.261,3.5,3.028
CHMM-L,20260822,96.0,80.8,6.598,0.05347,0.01703,0.35,3.261,4.02,1.234
CHMM-L,20260922,97.2,74.0,6.736,0.05357,0.01708,0.35,3.261,3.5,3.028
CHMM-L,20261022,94.4,86.4,6.748,0.05415,0.01701,0.35,3.261,3.5,3.028
CHMM-L,20261122,91.2,81.2,6.729,0.05394,0.01732,0.35,3.261,3.5,3.028
CHMM-L,20261222,92.8,80.4,6.681,0.05413,0.0171,0.35,3.261,3.67,2.333
CHMM-L,20261322,94.8,83.6,6.797,0.05366,0.01697,0.35,3.261,3.5,3.028
CHMM-L,20261422,95.2,76.4,6.686,0.05311,0.01697,0.35,3.261,3.5,3.028

model,IS_KS_mean,IS_KS_std,OoS_KS_mean,OoS_KS_std,kurt_mean,kurt_std,ACF_mean,ACF_std,ACF_raw_mean,ACF_raw_std,LRuc01_mean,LRuc01_std,LRuc05_mean,LRuc05_std
CHMM-N,94.72,1.159,82.6,1.791,5.0284,0.0554,0.04667,0.00055,0.0173,7.0e-5,2.122,1.255,3.828,0.0
CHMM-t,94.56,1.165,85.6,1.923,13.9496,1.9458,0.05176,0.00032,0.01704,8.0e-5,0.535,0.154,3.188,0.337
CHMM-L,94.4,1.769,80.76,3.59,6.712,0.054,0.05373,0.00034,0.01706,0.00011,3.261,0.0,2.71,0.594
