qi,q_start,q_end,n_days,win_start,win_end,nu_static,nu_roll,mae_static_t,mae_roll_t,mae_static_g,mae_roll_g,in_inference
1,2517,2579,63,2265,2516,6.0,15.0,0.22757,0.19464,0.21997,0.19594,1
2,2580,2642,63,2328,2579,6.0,15.0,0.33809,0.21239,0.34208,0.21329,1
3,2643,2705,63,2391,2642,6.0,10.0,0.30147,0.23324,0.2995,0.23636,1
4,2706,2768,63,2454,2705,6.0,6.0,0.28929,0.1385,0.28398,0.12382,1
5,2769,2831,63,2517,2768,6.0,6.0,0.24004,0.24932,0.23861,0.24299,1
6,2832,2894,63,2580,2831,6.0,6.0,0.23302,0.23685,0.23735,0.22552,1
7,2895,2957,63,2643,2894,6.0,5.0,0.27165,0.14537,0.26529,0.12994,1
8,2958,3020,63,2706,2957,6.0,5.0,0.26754,0.11645,0.26382,0.10519,1
9,3021,3083,63,2769,3020,6.0,6.0,0.20066,0.14032,0.19019,0.12832,1
10,3084,3088,5,2832,3083,6.0,10.0,0.52456,0.56517,0.48606,0.54267,0
arm_means_complete,,,,,,6.0,,0.26326,0.18523,0.26009,0.17793,
contrast,refit_effect_Student_t_static_rolling_,,,,,,,mean=0.07803,t=3.701,p=0.006,ci=[0.02941;0.12664],npos=7/9
contrast,refit_effect_Gaussian_static_rolling_,,,,,,,mean=0.08216,t=3.807,p=0.0052,ci=[0.0324;0.13191],npos=8/9
contrast,family_effect_static_t_Gaussian_,,,,,,,mean=0.00317,t=1.902,p=0.0936,ci=[-0.00067;0.00702],npos=7/9
contrast,family_effect_rolling_t_Gaussian_,,,,,,,mean=0.0073,t=3.005,p=0.0169,ci=[0.0017;0.0129],npos=6/9
anchor_full_window,,,,,,6.0,,0.20774,,0.20427,,
